Risk_ID,Project_ID,Project_Name,Risk_Category,Severity,Probability,Potential_Impact_AED,Status,Owner,Date_Raised
RSK-0191,PRJ-1025,Al Raha Beach Hospitality Tower B,Cost Escalation,Critical,High,250000,Mitigating,Ahmed Al Mazrouei,2026-02-20
RSK-0192,PRJ-1025,Al Raha Beach Hospitality Tower B,Material Delay,High,High,500000,Monitoring,Khalid Al Hosani,2026-08-14
RSK-0193,PRJ-1025,Al Raha Beach Hospitality Tower B,Safety Incident,Critical,Medium,5000000,Monitoring,Hessa Al Qubaisi,2026-05-03
RSK-0194,PRJ-1025,Al Raha Beach Hospitality Tower B,Utility Clashes,Low,High,100000,Monitoring,Hessa Al Qubaisi,2026-02-14
RSK-0195,PRJ-1025,Al Raha Beach Hospitality Tower B,Weather/Site Conditions,Medium,High,50000,Monitoring,Fatima Al Nuaimi,2026-05-22
RSK-0196,PRJ-1025,Al Raha Beach Hospitality Tower B,Scope Change,Low,Medium,500000,Open,Rashid Al Dhaheri,2026-05-15
RSK-0197,PRJ-1025,Al Raha Beach Hospitality Tower B,Cost Escalation,Critical,High,500000,Monitoring,Ahmed Al Mazrouei,2026-06-18
RSK-0198,PRJ-1025,Al Raha Beach Hospitality Tower B,Scope Change,Medium,High,2500000,Mitigating,Saeed Al Mansoori,2026-02-16
RSK-0199,PRJ-1025,Al Raha Beach Hospitality Tower B,Utility Clashes,High,Low,1000000,Mitigating,Saeed Al Mansoori,2026-02-27
RSK-0200,PRJ-1025,Al Raha Beach Hospitality Tower B,Utility Clashes,High,High,100000,Open,Khalid Al Hosani,2025-11-15
RSK-0201,PRJ-1025,Al Raha Beach Hospitality Tower B,Permitting & Approvals,High,Low,5000000,Mitigating,Mariam Al Falasi,2025-12-20
RSK-0202,PRJ-1025,Al Raha Beach Hospitality Tower B,Scope Change,High,Medium,1000000,Monitoring,Khalid Al Hosani,2026-04-02
RSK-0203,PRJ-1025,Al Raha Beach Hospitality Tower B,Safety Incident,Low,High,1000000,Mitigating,Rashid Al Dhaheri,2026-03-04
RSK-0204,PRJ-1027,Al Raha Beach Mixed-Use Redevelopment,Design Change,Medium,Medium,250000,Monitoring,Fatima Al Nuaimi,2026-03-03
RSK-0205,PRJ-1027,Al Raha Beach Mixed-Use Redevelopment,Permitting & Approvals,Critical,High,2500000,Mitigating,Mariam Al Falasi,2026-05-16
RSK-0206,PRJ-1027,Al Raha Beach Mixed-Use Redevelopment,Subcontractor Default,High,High,250000,Open,Fatima Al Nuaimi,2026-04-27
RSK-0207,PRJ-1028,Al Shamkha Hospitality Phase 1,Safety Incident,Medium,Low,1000000,Open,Mariam Al Falasi,2026-08-01
RSK-0208,PRJ-1028,Al Shamkha Hospitality Phase 1,Scope Change,Low,Medium,2500000,Mitigating,Fatima Al Nuaimi,2026-06-18
RSK-0209,PRJ-1028,Al Shamkha Hospitality Phase 1,Contractor Performance,Low,High,500000,Monitoring,Aisha Al Shamsi,2025-12-26
RSK-0210,PRJ-1028,Al Shamkha Hospitality Phase 1,Scope Change,Medium,Medium,250000,Monitoring,Ahmed Al Mazrouei,2026-07-13
