Project_ID,Project_Name,Month,Planned_Percent_Complete,Actual_Percent_Complete,SPI,CPI,Actual_Cost_AED
PRJ-1023,Saadiyat Island Residential Phase 2,2026-05,89.1,74.4,0.8,0.81,402834647.0
PRJ-1023,Saadiyat Island Residential Phase 2,2026-06,91.8,77.1,0.79,0.82,413418258.0
PRJ-1023,Saadiyat Island Residential Phase 2,2026-07,94.5,79.8,0.79,0.82,465941958.0
PRJ-1023,Saadiyat Island Residential Phase 2,2026-08,97.3,82.6,0.81,0.82,489696110.0
PRJ-1023,Saadiyat Island Residential Phase 2,2026-09,100.0,85.3,0.81,0.82,516261946.0
PRJ-1024,Saadiyat Island Retail Tower B,2025-10,34.7,39.2,1.03,0.82,77821457.0
PRJ-1024,Saadiyat Island Retail Tower B,2025-11,37.4,41.9,1.04,0.82,94433215.0
PRJ-1024,Saadiyat Island Retail Tower B,2025-12,40.2,44.7,1.05,0.81,103071376.0
PRJ-1024,Saadiyat Island Retail Tower B,2026-01,42.9,47.4,1.05,0.8,92787318.0
PRJ-1024,Saadiyat Island Retail Tower B,2026-02,45.6,50.1,1.05,0.79,101436332.0
PRJ-1024,Saadiyat Island Retail Tower B,2026-03,48.3,52.8,1.05,0.79,113588400.0
PRJ-1024,Saadiyat Island Retail Tower B,2026-04,51.1,55.6,1.06,0.79,116258272.0
PRJ-1024,Saadiyat Island Retail Tower B,2026-05,53.8,58.3,1.06,0.81,126213049.0
PRJ-1024,Saadiyat Island Retail Tower B,2026-06,56.5,61.0,1.06,0.82,132669101.0
PRJ-1024,Saadiyat Island Retail Tower B,2026-07,59.2,63.7,1.09,0.82,142659332.0
PRJ-1024,Saadiyat Island Retail Tower B,2026-08,62.0,66.5,1.1,0.84,138120148.0
PRJ-1024,Saadiyat Island Retail Tower B,2026-09,64.7,69.2,1.1,0.82,158588584.0
PRJ-1025,Al Raha Beach Hospitality Tower B,2025-10,9.5,0.0,0.63,0.94,0.0
PRJ-1025,Al Raha Beach Hospitality Tower B,2025-11,12.2,2.4,0.64,0.93,2224898.0
PRJ-1025,Al Raha Beach Hospitality Tower B,2025-12,15.0,4.9,0.63,0.94,4316687.0
PRJ-1025,Al Raha Beach Hospitality Tower B,2026-01,17.7,7.3,0.65,0.94,6649820.0
PRJ-1025,Al Raha Beach Hospitality Tower B,2026-02,20.4,9.7,0.66,0.95,8018899.0
PRJ-1025,Al Raha Beach Hospitality Tower B,2026-03,23.1,12.1,0.66,0.96,11898803.0
PRJ-1025,Al Raha Beach Hospitality Tower B,2026-04,25.9,14.6,0.67,0.97,12125880.0
PRJ-1025,Al Raha Beach Hospitality Tower B,2026-05,28.6,17.0,0.7,0.97,16082525.0
PRJ-1025,Al Raha Beach Hospitality Tower B,2026-06,31.3,19.4,0.7,0.97,17922516.0
PRJ-1025,Al Raha Beach Hospitality Tower B,2026-07,34.0,21.8,0.71,0.97,18809260.0
PRJ-1025,Al Raha Beach Hospitality Tower B,2026-08,36.8,24.3,0.71,0.97,20134590.0
PRJ-1025,Al Raha Beach Hospitality Tower B,2026-09,39.5,26.7,0.71,0.98,22875490.0
PRJ-1026,Al Maryah Island Residential Tower B,2025-10,70.0,68.7,0.95,0.77,661166785.0
PRJ-1026,Al Maryah Island Residential Tower B,2025-11,72.7,71.4,0.94,0.77,636141840.0
PRJ-1026,Al Maryah Island Residential Tower B,2025-12,75.5,74.2,0.96,0.8,694349127.0
PRJ-1026,Al Maryah Island Residential Tower B,2026-01,78.2,76.9,0.97,0.8,759079985.0
PRJ-1026,Al Maryah Island Residential Tower B,2026-02,80.9,79.6,0.98,0.81,754294756.0
PRJ-1026,Al Maryah Island Residential Tower B,2026-03,83.6,82.3,1.01,0.82,714783574.0
PRJ-1026,Al Maryah Island Residential Tower B,2026-04,86.4,85.1,1.0,0.83,777904622.0
PRJ-1026,Al Maryah Island Residential Tower B,2026-05,89.1,87.8,1.0,0.83,801987090.0
PRJ-1026,Al Maryah Island Residential Tower B,2026-06,91.8,90.5,0.98,0.83,921686954.0
PRJ-1026,Al Maryah Island Residential Tower B,2026-07,94.5,93.2,1.0,0.84,816011347.0
PRJ-1026,Al Maryah Island Residential Tower B,2026-08,97.3,96.0,1.01,0.86,868142188.0
PRJ-1026,Al Maryah Island Residential Tower B,2026-09,100.0,98.7,1.02,0.88,898389613.0
PRJ-1027,Al Raha Beach Mixed-Use Redevelopment,2025-10,56.5,49.8,0.89,1.01,209704337.0
PRJ-1027,Al Raha Beach Mixed-Use Redevelopment,2025-11,59.2,52.5,0.89,1.01,213147134.0
PRJ-1027,Al Raha Beach Mixed-Use Redevelopment,2025-12,62.0,55.3,0.88,1.01,233204546.0
PRJ-1027,Al Raha Beach Mixed-Use Redevelopment,2026-01,64.7,58.0,0.88,1.0,218009869.0
PRJ-1027,Al Raha Beach Mixed-Use Redevelopment,2026-02,67.4,60.7,0.89,1.0,224433202.0
PRJ-1027,Al Raha Beach Mixed-Use Redevelopment,2026-03,70.1,63.4,0.9,1.02,239819908.0
PRJ-1027,Al Raha Beach Mixed-Use Redevelopment,2026-04,72.9,66.2,0.89,1.02,246318123.0
PRJ-1027,Al Raha Beach Mixed-Use Redevelopment,2026-05,75.6,68.9,0.91,1.01,262577871.0
PRJ-1027,Al Raha Beach Mixed-Use Redevelopment,2026-06,78.3,71.6,0.91,1.01,266257112.0
PRJ-1027,Al Raha Beach Mixed-Use Redevelopment,2026-07,81.0,74.3,0.91,1.01,271729829.0
PRJ-1027,Al Raha Beach Mixed-Use Redevelopment,2026-08,83.8,77.1,0.91,0.99,324628768.0
PRJ-1027,Al Raha Beach Mixed-Use Redevelopment,2026-09,86.5,79.8,0.9,1.0,324134068.0
PRJ-1028,Al Shamkha Hospitality Phase 1,2025-10,28.5,19.1,0.79,0.79,24936433.0
PRJ-1028,Al Shamkha Hospitality Phase 1,2025-11,31.2,21.8,0.8,0.79,28992732.0
PRJ-1028,Al Shamkha Hospitality Phase 1,2025-12,34.0,24.6,0.82,0.8,29843083.0
PRJ-1028,Al Shamkha Hospitality Phase 1,2026-01,36.7,27.3,0.84,0.8,33346537.0
PRJ-1028,Al Shamkha Hospitality Phase 1,2026-02,39.4,30.0,0.84,0.79,35523126.0
PRJ-1028,Al Shamkha Hospitality Phase 1,2026-03,42.1,32.7,0.83,0.8,39506124.0
PRJ-1028,Al Shamkha Hospitality Phase 1,2026-04,44.9,35.5,0.86,0.8,41715412.0
PRJ-1028,Al Shamkha Hospitality Phase 1,2026-05,47.6,38.2,0.87,0.82,47318332.0
PRJ-1028,Al Shamkha Hospitality Phase 1,2026-06,50.3,40.9,0.87,0.8,49717740.0
PRJ-1028,Al Shamkha Hospitality Phase 1,2026-07,53.0,43.6,0.88,0.81,54669949.0
PRJ-1028,Al Shamkha Hospitality Phase 1,2026-08,55.8,46.4,0.88,0.83,61250914.0
PRJ-1028,Al Shamkha Hospitality Phase 1,2026-09,58.5,49.1,0.89,0.82,63071983.0
